127.0.0.1 - - [02/Apr/2021:09:08:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:08:44 +0900] "GET /webProject/day0402/positionTest.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:11:17 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:11:17 +0900] "GET /webProject/day0402/w3css.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:11:43 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:12:44 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:12:45 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:12:58 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:13:13 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:13:14 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:13:15 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:13:31 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:17:10 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:17:20 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:17:22 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:18:48 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:18:59 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:19:18 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:19:28 +0900] "GET /webProject/day0402/zindexTest.html HTTP/1.1" 200 539
