0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:49 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:38:50 +0900] "GET /webProject/day3/csslink.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:43:11 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:44:01 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:44:30 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:45:36 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:45:41 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:45:42 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:46:56 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:47:16 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:47:25 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [31/Mar/2021:09:48:21 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:05:21 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:06:36 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:06:37 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:10:06:45 +0900] "GET /webProject/day3/selectorTest.html HTTP/1.1" 304 -
